vx,vy,vz,ax,ay,az
0,0,0,5.0,-14.0,-981.0
0,0,0,-20.0,-1.0,-1014.0
0,0,0,-50.0,25.0,-989.0
0,0,0,-36.0,5.0,-973.0
0,0,0,-27.0,18.0,-970.0
0,0,0,-27.0,18.0,-970.0
0,0,0,12.0,-13.0,-1016.0
0,0,0,-1.0,-4.0,-987.0
0,0,0,-5.0,3.0,-953.0
0,0,0,-10.0,-12.0,-946.0
0,0,1,-14.0,13.0,-896.0
0,0,1,-14.0,13.0,-896.0
0,0,2,-22.0,4.0,-879.0
0,0,3,-13.0,13.0,-936.0
0,0,4,6.0,-10.0,-945.0
0,0,4,6.0,-10.0,-945.0
0,0,4,6.0,-16.0,-973.0
0,0,4,-14.0,-13.0,-1016.0
0,0,4,16.0,-24.0,-1014.0
0,0,4,-14.0,-1.0,-984.0
0,0,4,-14.0,-1.0,-984.0
0,0,4,-21.0,-5.0,-1013.0
0,0,4,1.0,-3.0,-1008.0
0,0,4,1.0,-3.0,-1008.0
0,0,4,1.0,-3.0,-1008.0
0,0,4,-7.0,-9.0,-1000.0
0,0,4,4.0,-6.0,-1008.0
0,0,4,-30.0,3.0,-1045.0
0,0,3,-38.0,2.0,-1056.0
0,0,3,-2.0,-4.0,-1047.0
0,0,3,-2.0,-4.0,-1047.0
0,0,0,-6.0,19.0,-887.0
0,0,0,-177.0,257.0,-1698.0
0,0,0,-17.0,-33.0,-967.0
0,0,0,-24.0,-14.0,-1025.0
0,0,0,-27.0,-7.0,-985.0
0,0,0,-3.0,-9.0,-993.0
0,0,0,-11.0,-8.0,-998.0
0,0,0,3.0,-17.0,-993.0
0,0,0,-2.0,-14.0,-1015.0
